Konvisar,Vika,Coding,2
Dreyfuss,David,Coding,3
Churchill,Winston,Coding,3
Sanders,Lyle,Coding,3
Taylor,James,Coding,3
Muncy,Bailee,Robotics,4
Presley,Elvis,Coding,3
Bowie,Jim,Coding,3
Toth,Jill,Robotics,2
Watson,Leon,Coding,3
Runyon,Morgan,Coding,4
Smith,Joe,Coding,3
Platten,Rachel,Coding,3
Bombardia,Ysabella,Coding,4
Baisden,Savanah,Coding,4
Beinchiek,Lotfi,Robotics,4
Brady,Mike,Coding,2
Brady,Carol,Robotics,4
Nimoy,Leonard,Coding,3
Carey,Mariah,Robotics,1
Rossen,Christopher,Robotics,2
Perry,Katy,Robotics,4
Moore,Michael,Robotics,3
Fraley,Chloe,Robotics,2
Ojeda,Aishea,Robotics,3
Ojeda,Destiny,Robotics,1
Kingerly,Don,Robotics,4
Cassidy,David,Robotics,1
Carnet,John,Robotics,3
Smithers,David,Robotics,1
Konvisar,Vika,Robotics,1
Tong,Jeremy,Robotics,3
Crosby,David,Robotics,1
Brady,Mike,Robotics,1
Winthrope,Brackston,Robotics,1
Winthrope,Brackston,Coding,3
Ojeda,Aishea,Coding,4
Fraley,Chloe,Robotics,2
Brady,Carol,Robotics,4
Crosby,David,Coding,3
Platten,Rachel,Coding,3
Cassidy,David,Coding,3
Smith,Joe,Coding,3
Watson,Leon,Coding,3
Muncy,Bailee,Robotics,4
Bowie,Jim,Coding,3
Carey,Mariah,Coding,2
Brady,Mike,Coding,2
Toth,Jill,Robotics,2
Bombardia,Ysabella,Coding,4
Kingerly,Don,Robotics,4
Sanders,Lyle,Coding,3
Presley,Elvis,Coding,3
Smithers,David,Coding,3
Taylor,James,Coding,3
Brady,Mike,Robotics,1
Baisden,Savanah,Robotics,3
Carnet,John,Robotics,3
Perry,Katy,Robotics,4
Runyon,Morgan,Robotics,3
Rossen,Christopher,Robotics,2
Moore,Michael,Robotics,3
Ojeda,Destiny,Robotics,1
Dreyfuss,David,Robotics,1
Churchill,Winston,Robotics,1
Tong,Jeremy,Robotics,3
Konvisar,Vika,Robotics,1
Nimoy,Leonard,Robotics,1
Beinchiek,Lotfi,Robotics,4
Konvisar,Vika,Robotics,1
Konvisar,Vika,Coding,2
Brady,Carol,Robotics,4
Ojeda,Aishea,Coding,4
Perry,Katy,Robotics,4
Winthrope,Brackston,Coding,3
Toth,Jill,Robotics,2
Moore,Michael,Coding,4
Smith,Joe,Coding,3
Konvisar,Vika,Coding,2
Carey,Mariah,Coding,2
Ojeda,Destiny,Coding,3
Smithers,David,Coding,3
Sanders,Lyle,Coding,3
Presley,Elvis,Coding,3
Nimoy,Leonard,Coding,3
Dreyfuss,David,Coding,3
Runyon,Morgan,Coding,4
Crosby,David,Coding,3
Taylor,James,Robotics,1
Bombardia,Ysabella,Robotics,3
Brady,Mike,Robotics,1
Carnet,John,Robotics,3
Muncy,Bailee,Robotics,4
Churchill,Winston,Robotics,1
Rossen,Christopher,Robotics,2
Bowie,Jim,Robotics,1
Fraley,Chloe,Robotics,2
Watson,Leon,Robotics,1
Tong,Jeremy,Robotics,3
Brady,Mike,Robotics,1
Kingerly,Don,Robotics,4
Baisden,Savanah,Robotics,3
Platten,Rachel,Robotics,1
Beinchiek,Lotfi,Robotics,4
Cassidy,David,Robotics,1
Fraley,Chloe,Robotics,2
Nimoy,Leonard,Coding,3
Crosby,David,Coding,3
Brady,Carol,Robotics,4
Brady,Mike,Coding,2
Platten,Rachel,Coding,3
Konvisar,Vika,Coding,2
Perry,Katy,Robotics,4
Carey,Mariah,Coding,2
Tong,Jeremy,Coding,4
Watson,Leon,Coding,3
Brady,Mike,Coding,2
Churchill,Winston,Coding,3
Taylor,James,Coding,3
Ojeda,Destiny,Coding,3
Bombardia,Ysabella,Coding,4
Smithers,David,Coding,3
Runyon,Morgan,Coding,4
Rossen,Christopher,Robotics,2
Toth,Jill,Robotics,2
Winthrope,Brackston,Robotics,1
Smith,Joe,Robotics,1
Baisden,Savanah,Robotics,3
Beinchiek,Lotfi,Robotics,4
Moore,Michael,Robotics,3
Bowie,Jim,Robotics,1
Ojeda,Aishea,Robotics,3
Cassidy,David,Robotics,1
Konvisar,Vika,Robotics,1
Kingerly,Don,Robotics,4
Sanders,Lyle,Robotics,1
Carnet,John,Robotics,3
Presley,Elvis,Robotics,1
Muncy,Bailee,Robotics,4
Dreyfuss,David,Robotics,1
