Baisden,Savanah,Coding,4
Brady,Mike,Coding,2
Sanders,Lyle,Coding,3
Rossen,Christopher,Robotics,2
Platten,Rachel,Coding,3
Ojeda,Destiny,Coding,3
Kingerly,Don,Robotics,4
Beinchiek,Lotfi,Robotics,4
Tong,Jeremy,Coding,4
Konvisar,Vika,Coding,2
Carnet,John,Coding,4
Toth,Jill,Robotics,2
Ojeda,Aishea,Coding,4
Bombardia,Ysabella,Coding,4
Brady,Carol,Robotics,4
Brady,Mike,Coding,2
Fraley,Chloe,Robotics,2
Carey,Mariah,Coding,2
Konvisar,Vika,Coding,2
Muncy,Bailee,Robotics,4
Perry,Katy,Robotics,4
Runyon,Morgan,Coding,4
Moore,Michael,Coding,4
